trace_tag,ablation,speedup,gap_closed,oracle_speedup
cpu_gpt2_512,full,1.1394013271354655,0.5361721697444785,1.2956462385945058
cpu_gpt2_512,no_memory_pressure,1.1394013271354655,0.5361721697444785,1.2956462385945058
cpu_gpt2_512,no_context,1.0,0.0,1.2956462385945058
cpu_gpt2_512,no_batch,1.1394013271354655,0.5361721697444785,1.2956462385945058
cpu_gpt2_512,no_bytes,1.0,0.0,1.2956462385945058
cpu_gpt2_512,no_intensity,1.0,0.0,1.2956462385945058
cpu_gpt2_512,no_latency,1.0,0.0,1.2956462385945058
cpu_gpt2_512,no_region_bias,1.0,0.0,1.2956462385945058
cpu_gpt2_960,full,1.164318254717458,0.5630023396331136,1.3345270989254765
cpu_gpt2_960,no_memory_pressure,1.164318254717458,0.5630023396331136,1.3345270989254765
cpu_gpt2_960,no_context,1.0,0.0,1.3345270989254765
cpu_gpt2_960,no_batch,1.164318254717458,0.5630023396331136,1.3345270989254765
cpu_gpt2_960,no_bytes,1.164318254717458,0.5630023396331136,1.3345270989254765
cpu_gpt2_960,no_intensity,1.164318254717458,0.5630023396331136,1.3345270989254765
cpu_gpt2_960,no_latency,1.164318254717458,0.5630023396331136,1.3345270989254765
cpu_gpt2_960,no_region_bias,1.164318254717458,0.5630023396331136,1.3345270989254765
cpu_opt125m_512,full,1.2193438127048093,0.7362476391432776,1.3233274877398342
cpu_opt125m_512,no_memory_pressure,1.2193438127048093,0.7362476391432776,1.3233274877398342
cpu_opt125m_512,no_context,1.0,0.0,1.3233274877398342
cpu_opt125m_512,no_batch,1.2193438127048093,0.7362476391432776,1.3233274877398342
cpu_opt125m_512,no_bytes,1.0,0.0,1.3233274877398342
cpu_opt125m_512,no_intensity,1.0,0.0,1.3233274877398342
cpu_opt125m_512,no_latency,1.0,0.0,1.3233274877398342
cpu_opt125m_512,no_region_bias,1.0,0.0,1.3233274877398342
gpu_gpt2_512,full,1.1400200667907048,0.5371707107116919,1.2964232555991906
gpu_gpt2_512,no_memory_pressure,1.136969151550347,0.5268762522613126,1.2964232555991906
gpu_gpt2_512,no_context,1.0,0.0,1.2964232555991906
gpu_gpt2_512,no_batch,1.136969151550347,0.5268762522613126,1.2964232555991906
gpu_gpt2_512,no_bytes,1.0,0.0,1.2964232555991906
gpu_gpt2_512,no_intensity,1.0,0.0,1.2964232555991906
gpu_gpt2_512,no_latency,1.0,0.0,1.2964232555991906
gpu_gpt2_512,no_region_bias,1.0,0.0,1.2964232555991906
gpu_gpt2_960,full,1.1771065191617327,0.5918212072168908,1.3408975250657695
gpu_gpt2_960,no_memory_pressure,1.1771065191617327,0.5918212072168908,1.3408975250657695
gpu_gpt2_960,no_context,1.0,0.0,1.3408975250657695
gpu_gpt2_960,no_batch,1.1771065191617327,0.5918212072168908,1.3408975250657695
gpu_gpt2_960,no_bytes,1.1771065191617327,0.5918212072168908,1.3408975250657695
gpu_gpt2_960,no_intensity,1.1771065191617327,0.5918212072168908,1.3408975250657695
gpu_gpt2_960,no_latency,1.1771065191617327,0.5918212072168908,1.3408975250657695
gpu_gpt2_960,no_region_bias,1.16042862660538,0.5437949531772595,1.3408975250657695
gpu_opt125m_512,full,1.2963533963342122,0.8862881809197003,1.3475922080316245
gpu_opt125m_512,no_memory_pressure,1.2963533963342122,0.8862881809197003,1.3475922080316245
gpu_opt125m_512,no_context,1.0,0.0,1.3475922080316245
gpu_opt125m_512,no_batch,1.2963533963342122,0.8862881809197003,1.3475922080316245
gpu_opt125m_512,no_bytes,1.0,0.0,1.3475922080316245
gpu_opt125m_512,no_intensity,1.0,0.0,1.3475922080316245
gpu_opt125m_512,no_latency,1.0,0.0,1.3475922080316245
gpu_opt125m_512,no_region_bias,1.0,0.0,1.3475922080316245
